sample,cuda_time,permutation_time
189,0,019661,2.346
190,0,019660,2.339
191,0,019664,2.325
192,0,020636,2.336
193,0,019660,2.328
194,0,019659,2.350
195,0,019659,2.323
196,0,019667,2.336
197,0,020106,2.341
198,0,019662,2.325
199,0,019660,2.344
200,0,019836,2.343
201,0,019692,2.345
202,0,020124,2.344
203,0,019659,2.345
204,0,019843,2.345
205,0,019688,2.334
206,0,019662,2.350
207,0,019739,2.346
208,0,019662,2.344
209,0,019664,2.343
210,0,019673,2.331
211,0,019661,2.346
212,0,020216,2.346
213,0,019661,2.335
214,0,019663,2.343
215,0,019658,2.346
216,0,019664,2.348
217,0,020194,2.342
218,0,019825,2.348
219,0,019655,2.352
220,0,019674,2.327
221,0,019684,2.342
222,0,019661,2.344
223,0,019666,2.352
224,0,019664,2.340
225,0,019658,2.347
226,0,019684,2.349
227,0,021023,2.346
228,0,019663,2.346
229,0,019661,2.351
230,0,019665,2.348
231,0,019662,2.335
232,0,020225,2.345
233,0,019662,2.344
234,0,019659,2.350
235,0,019665,2.333
236,0,019662,2.328
237,0,021319,2.319
238,0,019666,2.347
239,0,019658,2.344
240,0,019664,2.353
241,0,019661,2.320
242,0,019688,2.343
243,0,019663,2.349
244,0,019661,2.326
245,0,019659,2.337
246,0,019662,2.348
247,0,019690,2.331
248,0,019672,2.347
249,0,019663,2.344
250,0,019694,2.348
251,0,019676,2.351
252,0,019669,2.346
253,0,019659,2.330
254,0,019660,2.325
255,0,019664,2.350
